ABBREVIATION,TERM,DEFINITION ,ARTICLE ID 
SB PP&FP,poreless scales between precloacal and femoral pores,,Khandekar 2021 Cnemaspis uttaraghati
HL,head length,,Echevarri?üa 2021 Selvasaura
HW,head width,,Echevarri?üa 2021 Selvasaura
ShL,shank length,,Echevarri?üa 2021 Selvasaura
AGD,axilla-groin distance,,Echevarri?üa 2021 Selvasaura
SVL,snout-vent length,,Echevarri?üa 2021 Selvasaura
TL,Tail length,,Echevarri?üa 2021 Selvasaura
SVL,Snout-vent length,measured from the snout tip to the anterior edge of the cloaca,Chandramouli 2021 Nicobar Gekko
TAL,tail length,measured from the posterior edge of the cloaca to the tail tip,Chandramouli 2021 Nicobar Gekko
AG,trunk length,measured between the axilla and groin,Chandramouli 2021 Nicobar Gekko
HL,head length,measured from the snout tip to the angle of the jaw,Chandramouli 2021 Nicobar Gekko
HW,head width,measured at the widest point on the head,Chandramouli 2021 Nicobar Gekko
HD,head depth,"measured from the top of the head to the throat, at the level of the eyeball",Chandramouli 2021 Nicobar Gekko
ED,horizontal eye diameter,,Chandramouli 2021 Nicobar Gekko
EN,eye-nostril distanc,measured from the anterior margin of the eye to the posterior margin of the external nares,Chandramouli 2021 Nicobar Gekko
ES,snout length,measured from the anterior margin of the eye to the tip of the snout,Chandramouli 2021 Nicobar Gekko
ETY,distance from eye to tympanum,measured from posterior margin of the eye to the anterior edge of the tympanum,Chandramouli 2021 Nicobar Gekko
TYD,tympanum diameter,measured across the widest point of the tympanic opening,Chandramouli 2021 Nicobar Gekko
UAL,upper arm length,measured from the axilla to the elbow,Chandramouli 2021 Nicobar Gekko
LAL,lower arm length,measured from the elbow to the wrist,Chandramouli 2021 Nicobar Gekko
PAL,palm length,measured from the wrist to the tip of fnger III,Chandramouli 2021 Nicobar Gekko
FEL,thigh length,measured from the point of insertion of the hind limb on the trunk to the knee,Chandramouli 2021 Nicobar Gekko
TBL,tibia length,measured from the knee to heel,Chandramouli 2021 Nicobar Gekko
FOL,foot length,,Chandramouli 2021 Nicobar Gekko
SVL,snout vent length,,Agarwal 2021 Cnemaspis krishnagiriensis
AGL,axilla to groin length,,Agarwal 2021 Cnemaspis krishnagiriensis
BW,body width,,Agarwal 2021 Cnemaspis krishnagiriensis
FL,forearm length,,Agarwal 2021 Cnemaspis krishnagiriensis
CL,crus length,,Agarwal 2021 Cnemaspis krishnagiriensis
TL,tail length,,Agarwal 2021 Cnemaspis krishnagiriensis
TW,tail width,,Agarwal 2021 Cnemaspis krishnagiriensis
HL,head length,,Agarwal 2021 Cnemaspis krishnagiriensis
HW,head width,,Agarwal 2021 Cnemaspis krishnagiriensis
HD,head depth,,Agarwal 2021 Cnemaspis krishnagiriensis
ED,eye diameter,,Agarwal 2021 Cnemaspis krishnagiriensis
EN,eye to nares distance,,Agarwal 2021 Cnemaspis krishnagiriensis
ES,eye to snout distance,,Agarwal 2021 Cnemaspis krishnagiriensis
EE,eye to ear distance,,Agarwal 2021 Cnemaspis krishnagiriensis
EL,ear length,,Agarwal 2021 Cnemaspis krishnagiriensis
IN,internarial distance,,Agarwal 2021 Cnemaspis krishnagiriensis
IO,interorbital distance,,Agarwal 2021 Cnemaspis krishnagiriensis
SL,supralabials,,Agarwal 2021 Cnemaspis krishnagiriensis
IL,infralabials,,Agarwal 2021 Cnemaspis krishnagiriensis
SL M,supralabials at midorbital position,,Agarwal 2021 Cnemaspis krishnagiriensis
IL M,infralabials at midorbital position,,Agarwal 2021 Cnemaspis krishnagiriensis
DTR,dorsal tubercle rows ,including longitudinal rows,Agarwal 2021 Cnemaspis krishnagiriensis
PVT,paravertebral tubercles,,Agarwal 2021 Cnemaspis krishnagiriensis
VS,ventral scales,,Agarwal 2021 Cnemaspis krishnagiriensis
MVSR,mid-body scale rows across the belly,,Agarwal 2021 Cnemaspis krishnagiriensis
PP,precloacal pores,,Agarwal 2021 Cnemaspis krishnagiriensis
SBPP,poreless scales between precloacal pores,,Agarwal 2021 Cnemaspis krishnagiriensis
FP ,femoral pores,,Agarwal 2021 Cnemaspis krishnagiriensis
SVL,snout-vent length,taken from the tip of the snout to the vent,Agung 2021 Hemiphyllodactylus
TailL,tail length,taken from the vent to the tip of the tail—original or regenerated,Agung 2021 Hemiphyllodactylus
TrunkL,trunk length,taken from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body,Agung 2021 Hemiphyllodactylus
HL,head length,measured from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Agung 2021 Hemiphyllodactylus
HW,head width,measured at the angle of the jaws,Agung 2021 Hemiphyllodactylus
ED,eye diameter,the greatest horizontal diameter of the eyeball,Agung 2021 Hemiphyllodactylus
SnEye,snout-eye length,measured from anterior-most margin of the eyeball to the tip of snout,Agung 2021 Hemiphyllodactylus
NarEye,nares-eye length,measured from the anterior margin of the eyeball to the posterior margin of the external nares,Agung 2021 Hemiphyllodactylus
SnW,snout width,measured between the external nares.,Agung 2021 Hemiphyllodactylus
CN,circumnasal scales,thenumber of scales contacting the nares,Agung 2021 Hemiphyllodactylus
IS,internasal scales,the number of scales between left and right nasals contacting the rostral scale,Agung 2021 Hemiphyllodactylus
SL,supralabial scales,,Agung 2021 Hemiphyllodactylus
IL,infralabial scales,,Agung 2021 Hemiphyllodactylus
VS,ventral scales,,Agung 2021 Hemiphyllodactylus
DS,dorsal scales,,Agung 2021 Hemiphyllodactylus
